 TOT   INH   IND
   -     -     -                Options.Applicative.Common runParserFully (1)
   -     -     -                  Options.Applicative.Common runParser (1)
   -     -     -                    Options.Applicative.Common runParser.do_step (1)
   -     -     -      Data.SRTree.Datasets loadDataset (1)


  .9    .6    .2  Data.Massiv.Array.Delayed.Pull unsafeLiftArray2 (53687)
  .7    .4    .4    Data.Massiv.Array.Delayed.Pull unsafeIndex (6359926)
  .1     -     -      Algorithm.SRTree.Likelihoods sse.yhat (0)
  .1     -     -        Data.SRTree.Recursion cata (0)
  .1     -     -      Algorithm.SRTree.AD reverseModeUniqueArr.v (0)
   -     -     -        Data.Massiv.Array.Manifest.Storable unsafeIndex (0)
   -     -     -      Data.Massiv.Array.Delayed.Pull makeArrayLinear (0)
   -     -     -      Data.Massiv.Array.Delayed.Pull makeArray (0)
   -     -     -      Algorithm.SRTree.Likelihoods gradNLLArr.ys' (0)
   -     -     -        Data.Massiv.Array.Delayed.Pull makeArrayLinear (0)
   -     -     -      Algorithm.SRTree.Likelihoods gradNLLArr.(...) (0)
   -     -     -        Algorithm.SRTree.AD reverseModeUniqueArr (0)
   -     -     -          Algorithm.SRTree.AD reverseModeUniqueArr.v (0)
   -     -     -            Data.Massiv.Array.Manifest.Storable unsafeIndex (0)
   -     -     -    Data.Massiv.Array.Delayed.Pull makeArray (0)
   -     -     -    Control.Scheduler.Computation <> (7409)


  .3    .3    .3  Data.Massiv.Array.Manifest.Storable unsafeLinearIndex (813210)


  .2    .2    .2  Algorithm.EqSat.Build getBest (64061)
   -     -     -    Data.SRTree.Internal childrenOf (0)


  .3    .2    .1  Data.SRTree.Internal fmap (354320)
  .1     -     -    Data.Massiv.Array.Manifest.Storable unsafeIndex (51973)
   -     -     -    Data.SRTree.Eval replicateAs (20765)
   -     -     -      Data.Massiv.Array.Delayed.Pull replicate (0)
   -     -     -        Data.Massiv.Core.Common replicate (0)
   -     -     -          Data.Massiv.Array.Delayed.Pull makeArrayLinear (0)
   -     -     -      Data.Massiv.Core.Index.Internal liftIndex (20765)
   -     -     -    Data.SRTree.Eval + (0)
   -     -     -      Data.Massiv.Array.Delayed.Pull additionPointwise (21489)
   -     -     -        Data.Massiv.Core.Operations additionPointwise (21489)
   -     -     -          Data.Massiv.Array.Delayed.Pull unsafeLiftArray2 (21489)
   -     -     -      Data.Massiv.Core.Index.Internal == (21489)
   -     -     -    Data.SRTree.Eval / (0)
   -     -     -      Data.Massiv.Array.Delayed.Pull divisionPointwise (9246)
   -     -     -        Data.Massiv.Core.Operations divisionPointwise (9246)
   -     -     -          Data.Massiv.Array.Delayed.Pull unsafeLiftArray2 (9246)
   -     -     -    Data.SRTree.Eval ** (0)
   -     -     -    Data.SRTree.Eval abs (11396)
   -     -     -      Data.Massiv.Array.Delayed.Pull absPointwise (11396)
   -     -     -        Data.Massiv.Core.Operations absPointwise (0)
   -     -     -          Data.Massiv.Array.Delayed.Pull unsafeLiftArray (0)
   -     -     -    Data.SRTree.Eval log (6254)
   -     -     -      Data.Massiv.Array.Delayed.Pull unsafeLiftArray (6254)
   -     -     -    Data.SRTree.Eval recip (7307)
   -     -     -      Data.Massiv.Array.Delayed.Pull recipPointwise (7307)
   -     -     -        Data.Massiv.Core.Operations recipPointwise (0)
   -     -     -          Data.Massiv.Array.Delayed.Pull unsafeLiftArray (0)
   -     -     -    Data.SRTree.Internal relabelParams.alg (111807)
   -     -     -    Data.SRTree.Eval exp (0)
   -     -     -      Data.Massiv.Array.Delayed.Pull unsafeLiftArray (0)
   -     -     -    Data.SRTree.Eval sin (0)
   -     -     -      Data.Massiv.Array.Delayed.Pull unsafeLiftArray (0)
   -     -     -    Data.SRTree.Internal relabelParams.leftToRight (57148)


  .6    .2    .2  Data.Massiv.Array.Manifest.Storable unsafeLinearWrite (6150245)
  .4     -     -    Control.Monad.Primitive primitive (6117921)


  .4    .2    .2  Data.Massiv.Array.Manifest.Storable unsafeLinearRead (7517008)
  .3     -     -    Control.Monad.Primitive primitive (7517008)


  .4    .2     -  Data.Massiv.Array.Manifest.Storable unsafeIndex (865183)
  .4    .2    .2    Data.Massiv.Core.Common unsafeIndex (865183)
  .2     -     -      Data.Massiv.Array.Manifest.Storable unsafeLinearIndex (813210)
   -     -     -      Data.Massiv.Core.Index.Ix toLinearIndex (3194134)


  .3    .1    .1  Algorithm.EqSat.Build add (8459)
  .1     -     -    Algorithm.EqSat.Info makeAnalysis (2995)
   -     -     -      Algorithm.EqSat.Info calculateCost (1510)
   -     -     -      Algorithm.EqSat.Info calculateConsts (2995)
   -     -     -      Data.SRTree.Internal mapM (2995)
   -     -     -      Algorithm.EqSat.Info makeAnalysis.\ (2529)
   -     -     -    Algorithm.EqSat.Info calculateConsts (0)
   -     -     -    Algorithm.EqSat.Build add.addParents (4905)
   -     -     -      Algorithm.EqSat.Build add.addParents.ec' (4905)
   -     -     -        Data.HashSet.Internal insert (4905)
   -     -     -    Data.HashSet.Internal insert (2995)
   -     -     -    Data.SRTree.Internal mapM (8459)
